id,source,cueL1_word,cueL1_lang,cueL2_word,cueL2_lang,n_rows,n_cols,row_words,col_words
accident_cmn1_事故,translation_parallel,accident,en,事故,zh,19,12,accident; car; crash; mistake; injury; oops; ambulance; death; fall; pee; broken; spill; bad; blood; damage; emergency; fault; hospital; hurt,事故; 交通; 车祸; 意外; 故事; 交通事故; 危险; 汽车; 事情; 伤亡; 发生; 灾难
accident_nl1_ongeluk,translation_parallel,accident,en,ongeluk,nl,19,21,accident; car; crash; mistake; injury; oops; ambulance; death; fall; pee; broken; spill; bad; blood; damage; emergency; fault; hospital; hurt,ongeluk; auto; pech; dood; ongeval; pijn; verdriet; schade; accident; ziekenhuis; bloed; erg; verkeer; fout; geluk; gewonden; miserie; auto-ongeval; autos; dom; drama
accident_spa1_accidente,translation_parallel,accident,en,accidente,es,19,19,accident; car; crash; mistake; injury; oops; ambulance; death; fall; pee; broken; spill; bad; blood; damage; emergency; fault; hospital; hurt,accidente; auto; tránsito; choque; error; dolor; muerte; heridos; geográfico; imprudencia; tragedia; ambulancia; evitable; gente; problema; accidentado; accidente de auto; alcohol; automóvil
accident_de1_unfall,translation_parallel,accident,en,Unfall,de,19,15,accident; car; crash; mistake; injury; oops; ambulance; death; fall; pee; broken; spill; bad; blood; damage; emergency; fault; hospital; hurt,Unfall; Auto; Polizei; Krankenhaus; Blut; Verletzte; Krankenwagen; Verletzung; Verkehr; Angst; Crash; Feuerwehr; Tod; Versicherung; Autos
acquire_cmn1_获得,translation_parallel,acquire,en,获得,zh,18,13,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,获得; 得到; 知识; 成功; 收获; 成就; 经验; 获取; 钱; 付出; 努力; 回报; 金钱
acquire_cmn2_兼并,translation_parallel,acquire,en,兼并,zh,18,12,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,兼并; 公司; 合并; 企业; 吞并; 重组; 包容; 破产; 兼收并蓄; 一起; 兼容; 兼容并包
acquire_nl1_verkrijgen,translation_parallel,acquire,en,verkrijgen,nl,18,21,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,verkrijgen; hebben; bekomen; krijgen; kopen; ontvangen; werken; gratis; geld; vragen; winnen; moeite doen; verdienen; verwerven; iets; winst; beloning; cadeau; diploma; eisen; geven
acquire_nl3_aanschaffen,translation_parallel,acquire,en,aanschaffen,nl,18,19,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,aanschaffen; kopen; winkel; geld; aankopen; verwerven; hebben; betalen; nemen; verkrijgen; nodig; auto; bezit; duur; nieuw; grote aankoop; behoefte; bekomen; boodschappen
acquire_spa1_adquirir,translation_parallel,acquire,en,adquirir,es,18,9,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,adquirir; comprar; tener; tomar; obtener; poseer; dinero; conseguir; ganar
acquire_de1_erwerben,translation_parallel,acquire,en,erwerben,de,18,10,acquire; get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather,erwerben; kaufen; Geld; Haus; bekommen; Beruf; Kaufen; Kenntnisse; Wissen; Besitz
