ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
accident			事故	意外				ongeluk					accidente					Unfall					car; crash; mistake; injury; oops; ambulance; death; fall; pee; broken; spill; bad; blood; damage; emergency; fault; hospital; hurt	50; 21; 20; 13; 8; 6; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3	交通; 车祸; 意外; 故事; 交通事故; 危险; 汽车; 事情; 伤亡; 发生; 灾难	15; 15; 8; 8; 4; 4; 4; 3; 3; 3; 3									auto; pech; dood; ongeval; pijn; verdriet; schade; accident; ziekenhuis; bloed; erg; verkeer; fout; geluk; gewonden; miserie; auto-ongeval; autos; dom; drama	39; 20; 12; 11; 11; 8; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3									auto; tránsito; choque; error; dolor; muerte; heridos; geográfico; imprudencia; tragedia; ambulancia; evitable; gente; problema; accidentado; accidente de auto; alcohol; automóvil	20; 9; 8; 8; 7; 7; 5; 4; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2									Auto; Polizei; Krankenhaus; Blut; Verletzte; Krankenwagen; Verletzung; Verkehr; Angst; Crash; Feuerwehr; Tod; Versicherung; Autos	26; 9; 8; 7; 7; 5; 5; 4; 3; 3; 3; 3; 3; 2								
acquire			获得	兼并				verkrijgen	verwerven	aanschaffen			adquirir					erwerben					get; receive; gain; money; obtain; buy; have; take; achieve; earn; wealth; grab; knowledge; own; collect; find; gather	53; 18; 17; 16; 15; 9; 8; 8; 6; 6; 5; 4; 4; 4; 3; 3; 3	得到; 知识; 成功; 收获; 成就; 经验; 获取; 钱; 付出; 努力; 回报; 金钱	10; 8; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3	公司; 合并; 企业; 吞并; 重组; 包容; 破产; 兼收并蓄; 一起; 兼容; 兼容并包	12; 11; 9; 5; 5; 4; 4; 3; 2; 2; 2							hebben; bekomen; krijgen; kopen; ontvangen; werken; gratis; geld; vragen; winnen; moeite doen; verdienen; verwerven; iets; winst; beloning; cadeau; diploma; eisen; geven	20; 18; 16; 14; 14; 10; 9; 7; 7; 7; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3			kopen; winkel; geld; aankopen; verwerven; hebben; betalen; nemen; verkrijgen; nodig; auto; bezit; duur; nieuw; grote aankoop; behoefte; bekomen; boodschappen	80; 16; 15; 11; 11; 10; 8; 6; 6; 5; 4; 4; 4; 4; 3; 2; 2; 2					comprar; tener; tomar; obtener; poseer; dinero; conseguir; ganar	36; 19; 11; 9; 6; 5; 4; 4									kaufen; Geld; Haus; bekommen; Beruf; Kaufen; Kenntnisse; Wissen; Besitz	29; 7; 5; 4; 3; 3; 3; 3; 2								
advantage			优势					voordeel					ventaja					Vorteil					win; edge; tennis; benefit; disadvantage; gain; take; unfair; better; ahead; cheat; money; plus; privilege; up; fleas; good; lead; perk; above	19; 12; 12; 11; 9; 8; 8; 8; 8; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 2	劣势; 长处; 优点; 竞争; 好处; 特长; 很大; 成功	24; 9; 7; 4; 3; 3; 2; 2									winst; nadeel; geluk; profijt; positief; korting; geld; nut; beter; koopje; solden; baat; goedkoop; prijs; financieel; leuk; pluspunt; benefit	32; 25; 19; 18; 16; 15; 12; 12; 7; 7; 5; 4; 4; 4; 3; 3; 3; 2									beneficio; ganancia; diferencia; ganar; oportunidad; positivo; carrera; aprovechar; desventaja; mejor; negocio; adelantado; adelantarse; adelante; adelanto	10; 7; 5; 5; 5; 5; 4; 3; 3; 3; 3; 2; 2; 2; 2									Nachteil; Gewinn; gut; positiv; besser; Vorsprung; Glück; Nutzen; Tennis	33; 8; 7; 6; 5; 4; 3; 3; 3								
age	Person/Thing	Time	年龄	年纪				leeftijd					edad					altern	Zeitalter				old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old	39; 17; 17; 14; 11; 8; 8; 7; 6; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	年轻; 岁数; 老人; 年纪; 大小; 性别; 生日; 年老; 年长; 芳龄; 增长; 长大	10; 9; 8; 7; 5; 5; 5; 4; 4; 4; 3; 3	老人; 大; 岁月; 年龄; 老; 轻轻; 小; 大了; 小孩	8; 7; 7; 7; 5; 5; 4; 3; 3							oud; jong; ouderdom; jaren; verjaardag; ervaring; jarig; geboorte; kind; tijd; wijsheid; bejaard; dood	59; 51; 25; 17; 13; 7; 6; 5; 5; 4; 4; 3; 3									años; viejo; joven; vejez; tiempo; vida; adulto; niño	33; 12; 11; 11; 10; 8; 6; 5									Falten; Großeltern; Rente; Weisheit; Senioren; Tod; Würde; Altenheim; Alter; Altersheim; Demenz	18; 5; 5; 5; 3; 3; 3; 2; 2; 2; 2	Geschichte; Ära; Epoche; Mittelalter; Vergangenheit; Jahrhundert; Periode; Zeitgeist	17; 13; 10; 10; 8; 4; 3; 3						
air	Person/Thing	The physical world	空气					lucht					aire					Luft					breathe; oxygen; atmosphere; plane; breath; sky; cloud; balloon; light; wind; clean; fresh; supply; clear; gas; music; space; water; airplane	42; 27; 14; 14; 12; 12; 10; 9; 9; 9; 8; 8; 5; 4; 3; 3; 3; 3; 2	清新; 呼吸; 氧气; 污染; 二氧化碳; 雾霾; 水; 必需品; 稀薄	19; 16; 16; 13; 8; 7; 5; 3; 3									blauw; wolken; ademen; zon; vliegtuig; vogel; hemel; vervuiling; zuurstof; vrijheid; wind; vliegen; helder; hoog; leven; mooi; regenboog	53; 38; 26; 14; 13; 13; 8; 7; 7; 5; 5; 4; 3; 3; 3; 3; 3									puro; oxígeno; respirar; fresco; libre; vida; viento; acondicionado; libertad; limpio; agua; etéreo; cielo	17; 14; 13; 12; 11; 11; 9; 6; 5; 5; 4; 4; 3									atmen; Sauerstoff; Atmen; Wasser; Himmel; Erde; Wind; frisch; Air; Feuer; Flugzeug; Leben; Liebe; O2	18; 11; 9; 9; 7; 5; 5; 5; 4; 3; 3; 3; 3; 3								
alley			小巷	巷子	弄堂			steeg					callejón					Gasse					dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster	36; 29; 17; 15; 14; 14; 9; 9; 7; 5; 4; 4; 4; 3; 3	巷子; 江南; 狭窄; 雨巷; 弄堂; 丁香花; 幽深; 戴望舒; 油纸伞; 胡同; 黑暗; 伞	5; 5; 5; 5; 4; 3; 3; 3; 3; 3; 3; 2	胡同; 雨巷; 丁香; 雨; 小巷; 酒香; 弄堂; 深; 狭窄; 窄; 酒	14; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3	胡同; 小巷; 上海; 四合院; 北京; 巷子; 弄堂里; 江南	13; 10; 6; 5; 4; 4; 3; 3					donker; smal; straatje; straat; klein; stad; doodlopend; gevaarlijk; nauw; vuil; bang; duister; eng; gezellig	47; 39; 26; 17; 13; 10; 7; 7; 7; 7; 4; 4; 4; 3									oscuro; sin salida; salida; calle; oscuridad; cerrado; miedo; peligro; sucio; encierro; peligroso; barrio	16; 16; 13; 12; 9; 6; 4; 4; 4; 3; 3; 2									Straße; eng; dunkel; Stadt; Weg; Altstadt; Kopfsteinpflaster; klein; schmal; Häuser; Basel; Dreck; Dunkel; Gassenhauer	22; 13; 11; 10; 6; 5; 5; 4; 4; 3; 2; 2; 2; 2								
ally			盟友					bondgenoot					aliado										friend; war; enemy; comrade; partner; alliance; companion; foe; help; axis; dark; team; way; World War II; alley; buddy; cohort; compatriot; pal	69; 19; 12; 7; 7; 6; 6; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3	朋友; 合作; 结盟; 信任; 联盟; 背叛; 伙伴; 利益; 同盟; 战争; 对手; 队友	15; 10; 7; 5; 5; 5; 4; 4; 4; 4; 3; 3																			amigo; compañero; guerra; socio; cómplice; enemigo; hermano; compinche	36; 16; 9; 8; 6; 6; 6; 4																		
ambition			野心	抱负				ambitie					ambición					Ehrgeiz					drive; goal; work; success; career; desire; job; dreams; greed; hope; money; blind; focus; future; motivation; college; ego; high; lofty	26; 21; 16; 14; 12; 10; 7; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	勃勃; 欲望; 野心勃勃; 蓬勃; 雄心; 大; 家; 很大; 我	9; 4; 4; 3; 3; 2; 2; 2; 2									carrière; werk; streven; hogerop; willen; job; doel; geld; top; inzet; macht; man; toekomst; kunnen; vooruitgang; streber; stress; strever; succes; vooruit	25; 17; 12; 10; 9; 8; 7; 7; 7; 6; 6; 6; 6; 4; 4; 3; 3; 3; 3; 3									dinero; poder; deseo; meta; desmedida; egoísmo; querer; riqueza; avaricia; codicia; mía; pecado	18; 13; 9; 6; 4; 4; 4; 4; 3; 3; 3; 3									Ziel; Karriere; Wille; Erfolg; Motivation; Streber; wichtig; Disziplin; Geld; Sport; anstrengen; Ambition; Fleiß	6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 2; 2								
ambulance			救护车					ambulance					ambulancia					Krankenwagen					emergency; siren; hospital; accident; paramedic; red; injury; lights; chaser; help; hurt; sick; vehicle; police; white; blood; driver; loud; medic; medical	38; 31; 24; 13; 11; 11; 9; 8; 6; 6; 6; 6; 6; 5; 5; 4; 4; 4; 4; 4	医院; 医生; 急救; 病人; 紧急; 红色; 护士; 生命	19; 14; 7; 7; 7; 7; 6; 4									sirene; ziekenhuis; ongeval; ziekenwagen; zwaailicht; ziek; lawaai; hulp; ongeluk; snel; ziekte; geel; gewond; dokter; dringend; gevaar; lichten; ziekenauto	27; 22; 21; 21; 18; 17; 12; 11; 11; 9; 8; 6; 6; 4; 4; 4; 4; 4									emergencia; médico; sirena; hospital; accidente; enfermo; salud; urgencia; doctor; dolor; luces; herido; ruido	19; 18; 17; 15; 13; 9; 7; 6; 5; 5; 5; 4; 4									Unfall; Blaulicht; Notfall; Sanitäter; Sirene; Spital; Ambulanz; Krankenhaus; Rettung; schnell; Auto; Hilfe; laut	13; 10; 10; 10; 8; 7; 6; 6; 6; 6; 5; 5; 4								
amount			数量	金额				hoeveelheid	bedrag				cantidad	importe	suma	monto		Betrag					money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large	40; 27; 17; 12; 10; 9; 8; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3	多; 质量; 少; 多少; 庞大; 数字; 人口; 很多	10; 10; 7; 5; 4; 4; 3; 3	钱; 巨大; 银行; 数字; 金融; 货币; 金钱; 钞票; 不足; 买东西; 价格	16; 6; 5; 4; 4; 3; 3; 3; 2; 2; 2							aantal; veel; massa; liter; tal; inhoud; maat; water; weinig; getal; gewicht; hoop; gram; grootte; kilogram; recept; dosis; geld; groot; kilo	31; 25; 20; 10; 8; 7; 7; 7; 7; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	geld; som; betalen; rekening; euro; prijs; hoeveelheid; groot; rijk; totaal; winkel; aantal; getal; kopen; kosten; loon; saldo	84; 24; 22; 12; 11; 11; 9; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3							mucho; calidad; poco; número; volumen; demasiado; dinero; varios; contar; cosas; peso; plata	37; 13; 13; 10; 5; 4; 4; 4; 3; 3; 3; 3	dinero; precio; valor; costo; pago; plata; pagar; deuda; importar	21; 20; 18; 13; 10; 7; 6; 5; 4	resta; más; adición; matemática; agregar; aumenta; multiplicación; operación; cuenta; números; cantidad; matemáticas	31; 11; 8; 8; 7; 7; 6; 6; 5; 5; 4; 4	dinero; cantidad; plata; suma; precio; caballo; valor; deuda	31; 19; 10; 9; 6; 5; 5; 4			Geld; Rechnung; Summe; Kosten; Zahl; bezahlen; zahlen; Anzahl	40; 10; 8; 4; 3; 3; 3; 2								
