ID_x	ENG 1	ENG 2	PoS_x	CMN 1	CMN 2	SPA 1	SPA 2	NL 1	NL 2	DE 1	DE 2	CMN	ENG	SPA	scores	NL	DE	ENG 1_Associations	ENG 1_Association_Freqs	ENG 2_Associations	ENG 2_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs
12	size	magnitude	nouns	大小	量	tamaño	magnitud	grootte	omvang	Größe	Ausmaß	2.272727272727273	4.615384615384615	5.0	4.186130536130536	6.13793103448276	3.830769231	large; small; big; medium; measure; matters; shape; shoe; weight; clothes; height; huge; dress; evaluate	48; 31; 25; 16; 11; 9; 9; 8; 8; 5; 5; 5; 4; 3	earthquake; size; big; large; huge; great; important; measurement; scale; level; measure; order; scope; severity; enormous; immense; impact; importance; largeness; magnet	35; 27; 15; 12; 9; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	尺寸; 多少; 长短; 年龄; 比较; 形状; 体积; 高矮; 合适	13; 8; 8; 5; 5; 4; 3; 3; 2	测量; 尺子; 量筒; 数量; 量子; 量杯; 量词; 度量; 计量; 多少; 子; 尺	8; 7; 7; 6; 6; 6; 6; 4; 4; 3; 3; 3	Höhe; klein; Körper; Länge; Kleider; Kleidung; Schuhe; groß; Gewicht; Körpergröße; Macht; Maß; Meter	12; 10; 9; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3	Katastrophe; Größe; Umfang; groß; Folgen; Schaden; abschätzen; menge; viel; Ausdehnung; Breite	18; 13; 6; 5; 4; 3; 3; 3; 3; 2; 2	lengte; omvang; maat; breedte; afmeting; klein; groot; hoogte; oppervlakte; lang; meten; meter; huis; inhoud; man; centimeter; diepte; volume; vorm; belangrijk	37; 21; 14; 13; 12; 10; 8; 8; 8; 7; 7; 7; 5; 5; 5; 4; 4; 4; 4; 3	grootte; dik; groot; omtrek; dikte; inhoud; rond; cirkel; maat; ramp; veel; groote; massa; meten; aarde; breedte; buik; groots; hoeveelheid; impact	50; 37; 17; 17; 10; 6; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	grande; chico; pequeño; mediano; medida; pene; casa; dimensión; baño; altura	40; 15; 12; 11; 8; 8; 6; 4; 3; 2	tamaño; grande; medida; grandeza; gigante; dimensión; enorme; gran; inmensidad; muchos	19; 16; 12; 10; 5; 3; 3; 3; 3; 3
19	bone	teeth	nouns	骨头	牙齿	hueso	dientes	bot	tanden	Knochen	Zähne	0.6363636363636364	2.076923076923077	1.7	1.6344405594405595	2.48275862068966	1.430769231	skeleton; white; marrow; dog; broken; skull; penis; femur; hard; calcium; sex; dry; body; boner; brittle; teeth; arm; death; fracture; head	27; 24; 21; 15; 13; 9; 8; 7; 7; 6; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3	white; dentist; mouth; bite; brush; chew; smile; cavity; tongue; braces; eat; molar; toothbrush; floss; food; gums; clean; straight; tooth	41; 22; 19; 14; 13; 11; 11; 9; 8; 7; 7; 7; 7; 6; 6; 6; 4; 4; 4	狗; 汤; 排骨; 肉; 尸体; 白色; 骷髅; 坏死; 好吃	22; 5; 4; 4; 3; 3; 3; 2; 2	牙医; 洁白; 嘴唇; 整齐; 刷牙; 坚硬; 白; 蛀牙; 疼; 舌头; 口腔; 嘴巴; 智齿; 牙膏; 矫正; 健康	12; 9; 6; 6; 5; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 2	Skelett; Bruch; Hund; Suppe; Mark; Haut; Körper; hart; Mensch; Osteoporose; WEISS; brechen	25; 10; 10; 7; 5; 4; 4; 4; 3; 3; 3; 3	Zahnarzt; WEISS; putzen; Karies; weiß; Mund; Gebiss; Zahnbürste; Zahnspange; Zunge; kauen	19; 12; 11; 10; 10; 9; 6; 5; 4; 4; 4	been; hond; skelet; mes; laars; beenderen; ruw; geraamte; lichaam; onbeleefd; archeologie; mens; onscherp; scherp; wit; grof; kort; niet scherp; vis	43; 35; 18; 17; 9; 8; 7; 6; 6; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3	wit; tandarts; poetsen; bijten; eten; gebit; tandpasta; beugel; mond; tandenborstel; lachen; pijn; gaatje; blokjes; glimlach	52; 25; 22; 18; 17; 16; 16; 11; 11; 9; 6; 6; 5; 4; 4	esqueleto; blanco; cuerpo; duro; óseo; calcio; carne; animal; perro; fractura; humano; cráneo	16; 12; 12; 11; 11; 8; 8; 7; 7; 4; 4; 3	blancos; boca; sonrisa; dentista; comida; caries; muelas; dolor; odontólogo; cepillo; grandes; huesos; masticar; caninos; fuertes; higiene; leche; morder	21; 15; 14; 8; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3
33	door	gate	nouns	门	大门	puerta	portón	deur	poort	Türe	Tor	5.545454545454546	2.769230769230769	4.9	4.088344988344989	3.62068965517241	3.830769231	open; window; close; knob; frame; enter; entrance; entry; exit; portal; shut; way; wooden; front; handle; house; stop; bell	50; 26; 23; 15; 10; 9; 9; 8; 8; 8; 7; 6; 6; 5; 5; 5; 5; 4	fence; open; door; way; close; entry; lock; metal; entrance; farm; field; garden; house; portal; swing; water; white; airport; bar; bill	30; 22; 19; 9; 8; 7; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3	窗; 锁; 钥匙; 大门; 打开; 把手; 口; 户; 房门; 狗; 门锁; 家	10; 10; 6; 5; 4; 4; 3; 3; 3; 3; 3; 2	钥匙; 门口; 敞开; 狗; 门卫; 保安; 学校; 打开; 故宫; 红色; 铁; 铁门; 锁	6; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3	Eingang; Haus; Fenster; schließen; Klinke; öffnen; Tor; Holz; offen; Schloss; klinke; Schlüssel; aufmachen	12; 9; 8; 8; 7; 7; 6; 5; 5; 4; 4; 3; 3	Fußball; Eingang; Tür; Burg; Goal; Sport; Torwart; Durchgang; Einfahrt; Schloss; Türe; öffnen; Dummkopf	30; 8; 7; 5; 4; 4; 4; 3; 3; 3; 3; 3; 2	klink; open; hout; slot; huis; opening; raam; bel; bruin; openen; toe; dicht; sleutel; sluiten; binnen; kamer; toegang; doorgang	40; 24; 23; 17; 16; 10; 9; 8; 8; 8; 8; 7; 7; 7; 5; 5; 5; 4	deur; garage; hemel; toegang; ingang; kasteel; hek; school; huis; groot; hout; gesloten; open; doorgang; opening; stad; auto; ijzer; dicht	34; 19; 16; 14; 13; 13; 11; 11; 8; 7; 7; 7; 6; 5; 5; 5; 4; 4; 3	entrada; casa; ventana; salida; madera; abierta; abrir; oportunidad; acceso; llave; abertura; entrar; pestillo	22; 17; 17; 13; 10; 7; 7; 5; 4; 4; 3; 3; 3	puerta; reja; casa; entrada; garage; seguridad; grande; cerrado; llave; madera; auto; hierro; portera	27; 16; 11; 11; 8; 8; 5; 4; 4; 4; 3; 3; 3
42	house	apartment	nouns	房子	公寓	casa	apartamento	huis	appartement	Haus	Wohnung	4.2727272727272725	2.8461538461538463	4.1	3.691724941724942	4.2	3.969230769	home; building; live; shelter; abode; residence; dwelling; comfort; domicile; roof; warm; apartment; family; party; brick; cat; dog; door; hearth; hold	76; 15; 10; 9; 8; 8; 7; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive	26; 20; 19; 19; 18; 10; 10; 9; 7; 7; 6; 6; 6; 5; 4; 4; 4; 3	家; 贵; 房价; 别墅; 车; 车子; 温暖; 装修; 户口; 房地产; 房贷; 人; 安全	8; 8; 6; 5; 5; 5; 4; 4; 3; 3; 3; 2; 2	房子; 住宿; 单身; 楼房; 合租; 小区; 房租; 房间; 整洁; 电梯; 高楼; 住; 住所; 公共; 出租	10; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2	Garten; Dach; Tür; Heim; Familie; Wohnung; wohnen; Fenster; Heimat; Maus; bauen; Geborgenheit	16; 10; 8; 7; 6; 6; 6; 5; 5; 5; 5; 4	Zuhause; Haus; Miete; Heim; Familie; Zimmer; Heimat; Sicherheit; wohnen; Apartment; Eigentum; Fenster; Leben; Möbel	15; 13; 9; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2	tuin; thuis; dak; deur; gezellig; raam; familie; wonen; steen; groot; gezin; woning; baksteen; boom; kamer; keuken; bakstenen; bouwen; mama; muur	27; 26; 23; 16; 12; 10; 9; 9; 8; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4	klein; flat; huis; hoog; stad; woning; lift; wonen; verdieping; zee; loft; uitzicht; vakantie; blok; duur; etage; geen tuin; gezellig; woonst; gebouw	29; 18; 16; 13; 11; 10; 8; 8; 7; 7; 5; 5; 5; 4; 4; 4; 4; 4; 4; 3	hogar; nido; familia; vivienda; techo; seguridad; apartamento; construcción; edificio; lugar; patio; refugio	34; 18; 16; 9; 8; 6; 4; 3; 3; 3; 3; 3	casa; hogar; edificio; vivienda; chico; alquiler; departamento; alto; lugar; encierro; independencia; pequeño; vivir; altura; blanco	32; 16; 14; 8; 7; 6; 6; 5; 4; 3; 3; 3; 3; 2; 2
64	intelligence	logic	nouns	智力	逻辑	inteligencia	lógica	intelligentie	logica	Intelligenz	Logik	3.090909090909091	2.6923076923076925	3.4	2.775116550116549	3.79310344827586	3.2769230772	smart; brain; clever; IQ; knowledge; bright; artificial; genius; wit; book; educated; thinking; wisdom; agency; aptitude; intellect; knowing; science; study	62; 18; 9; 8; 8; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	thought; reason; math; science; smart; puzzle; computer; mathematics; brain; mind; philosophy; rational; reasoning; sensible; argument; atheism; clear; right; chess; fallacy	23; 21; 20; 10; 10; 8; 7; 7; 6; 6; 5; 5; 5; 4; 3; 3; 3; 3; 2; 2	智商; 聪明; 测验; 测试; 脑子; 天才; 情商; 智慧; 水平; 天赋; 弱智	16; 11; 6; 5; 5; 4; 4; 4; 4; 3; 3	思维; 数学; 推理; 条理; 清晰; 能力; 学习; 思想; 思考; 想法	25; 10; 7; 3; 3; 3; 2; 2; 2; 2	IQ; Wissen; schlau; Bildung; klug; Gehirn; Test; wissen; Klugheit; Schule; Dummheit; Elite; Emotionale Intelligenz	12; 9; 9; 7; 5; 4; 4; 4; 3; 3; 2; 2; 2	Mathematik; Mathe; Philosophie; Denken; denken; logisch; Intelligenz; Gehirn; Frauen	23; 8; 8; 6; 6; 6; 5; 4; 3	slim; iq; test; verstand; hersenen; kennis; school; studeren; diploma; dom; hoogbegaafd; verstandig; wijsheid; brein; denken; hoog; ontwikkeling; opleiding; slimheid; studie	56; 35; 10; 10; 7; 7; 7; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	wiskunde; denken; logisch; redeneren; nadenken; normaal; rede; moeilijk; vanzelfsprekend; gezond verstand; hersenen; natuurlijk; onlogisch; school; slim; verstand; vrouwen; eenvoudig; filosofie; juist	30; 16; 14; 12; 9; 8; 8; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3	sabiduría; capacidad; cerebro; mente; conocimiento; saber; estudio; artificial; emocional; luz; rapidez; coeficiente; intelecto; intelectual; astucia; comprensión	11; 10; 9; 8; 7; 7; 5; 4; 4; 4; 4; 3; 3; 3; 2; 2	razón; filosofía; matemática; pensamiento; matemáticas; mente; pensar; razonamiento; sentido; lógico; cerebro; razonar	10; 8; 8; 7; 6; 6; 6; 5; 5; 4; 3; 3
79	money	salary	nouns	钱	薪水	dinero	salario	geld	salaris	Geld	Gehalt	4.2727272727272725	2.769230769230769	3.7	3.35425407925408	5.26666666666667	4.8	cash; dollars; coins; green; currency; wealth; rich; bills; bank; spend; greed; power; evil; work; buy; lucre; notes; root of evil; time; wallet	38; 22; 14; 11; 10; 10; 8; 7; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3	money; wage; pay; work; job; income; earn; paycheck; salt; payment; cash; dollars; salad; celery; compensation; earnings	56; 27; 25; 18; 14; 8; 7; 7; 7; 5; 4; 4; 4; 3; 3; 3	钱包; 人民币; 购物; 喜欢; 工作; 穷; 钞票; money; 工资; 想要; 房子; 旅游; 没有	11; 7; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2	工资; 钱; 工作; 生活; 公司; 老板; 收入; 酬劳; 低	21; 10; 7; 6; 4; 4; 3; 3; 2	Bank; Macht; Reichtum; Scheine; Kohle; Euro; Moneten; Schein; Wert; Arbeit; Asche; Münze; Portemonnaie; Sorgen; Währung	8; 7; 7; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	Geld; Lohn; Arbeit; Bank; Einkommen; Erhöhung; Beruf; Job; Konto	35; 17; 12; 3; 3; 3; 2; 2; 2	rijk; euro; kopen; munten; bank; werken; briefjes; portefeuille; betalen; dollar; rijkdom; veel; biljetten; duur; kleren; bankkaart; winkel; groen; macht; muntstuk	26; 19; 11; 11; 10; 10; 9; 9; 8; 6; 6; 6; 5; 5; 5; 4; 4; 3; 3; 3	loon; geld; werk; wedde; maandelijks; inkomen; maand; verdienen; bank; beloning; pree; belastingen; einde maand; laag; leven; rekening; beroep	54; 47; 24; 18; 10; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 2	plata; billete; moneda; necesidad; poder; trabajo; banco; efectivo; mucho; riqueza; sueldo; verde; avaricia; billetera; cambio; capitalismo; casa; cien; codicia	27; 13; 11; 6; 6; 4; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2	dinero; sueldo; trabajo; plata; mínimo; paga; poco; remuneración; bajo	23; 21; 20; 15; 8; 4; 4; 3; 2
80	teacher	helper	nouns	老师	帮手	profesor	ayudante	leraar	helper	Lehrer	Helfer	0.8181818181818182	2.1538461538461537	1.1	1.477214452214452	3.46428571428571	2.0769230772	school; student; class; learn; instructor; professor; educator; mentor; apple; education; study; classroom; book; pupil; teach; woman; blackboard; children; homework	36; 29; 12; 11; 10; 10; 8; 8; 7; 6; 6; 5; 4; 4; 4; 4; 3; 3; 3	assistant; friend; aide; hamburger; child; Santa; hand; teacher; aid; kind; mother; nurse; help; worker; assist; maid; person; assistance; care; dog	26; 13; 12; 9; 8; 8; 7; 7; 6; 6; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3	学生; 学校; 教室; 数学; 黑板; 园丁; 教书; 教师; 教育; 考试; 职业; 蜡烛	22; 11; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	帮助; 助手; 帮忙; 助理; 扳手; 朋友; 合作; 打手; 打架; 善意	11; 9; 9; 7; 5; 5; 4; 4; 3; 2	Schule; Schüler; Unterricht; Tafel; Beruf; Pauker; Arbeit; Hausaufgaben; Klasse	29; 15; 7; 6; 4; 4; 3; 3; 3	Freund; Sanitäter; Unfall; Feuerwehr; Helfersyndrom; Not; Polizei; Retter; Unterstützung; freiwillig; Hilfe; Rotes Kreuz	7; 5; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3	school; les; saai; klas; bord; krijt; examen; man; streng; toets; boek; examens; leren; leerling; lerares; middelbaar; punten; huiswerk; kennis; leerstof	44; 32; 16; 12; 10; 9; 8; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3	hulp; assistent; steun; vriend; vrijwilliger; knecht; rode kruis; werk; goed; ehbo; helpen; medewerker; nood; verpleger; verzorger; vriendelijk; aardig; baas; familie; hulpje	18; 12; 10; 9; 9; 8; 8; 7; 6; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3	maestro; docente; enseñanza; conocimiento; alumno; aprender; liceo; clase; educación; guía; universidad; escuela; libro; aula; autoridad; educador	15; 12; 9; 8; 7; 7; 7; 6; 6; 6; 5; 4; 4; 3; 3; 3	asistente; auxiliar; compañero; cocina; amigo; colaborador; secretario; ayuda; trabajo; empleado; acompañante	13; 10; 7; 6; 5; 5; 5; 4; 4; 3; 2
94	hallway	corridor	nouns	过道	走廊	pasillo	corredor	gang	overloop	Flur	Gang	4.2727272727272725	5.615384615384615	5.3	4.681585081585081	5.23333333333333	5.2153846152	corridor; door; school; long; house; room; narrow; passage; entrance; hall; walk; floor; lockers; stairs; books; carpet; entry; offices; shoes; walkway	27; 24; 23; 18; 14; 11; 10; 7; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	hallway; hall; doors; passage; dark; room; long; school; building; doorway; narrow; house; tunnel; walkway; walls; England; floor	46; 28; 14; 12; 11; 10; 9; 7; 5; 5; 5; 4; 4; 4; 4; 3; 3	走廊; 拥挤; 狭窄; 窄; 医院; 教室; 走路; 人; 人群; 人行横道; 人行道; 学校	32; 7; 6; 4; 3; 3; 3; 2; 2; 2; 2; 2	学校; 教室; 过道; 长; 河西; 发廊; 奔跑; 学生; 窗户; 长廊; 下课; 头发; 安静	11; 6; 6; 5; 4; 3; 3; 3; 3; 3; 2; 2; 2	Gang; Wohnung; Eingang; dunkel; lang; Haus; Schuhe; Boden; Türen; Durchgang; Garderobe	21; 11; 8; 8; 8; 7; 5; 4; 4; 3; 3	Flur; Auto; laufen; Bande; Haus; gehen; Bewegung; aufrecht; lang	18; 6; 6; 5; 4; 4; 3; 3; 3	lang; hal; huis; deur; smal; hall; inkom; stap; loop; corridor; koud; school; tred; voordeur; bende; paard; trap; doorgang; lopen; donker	18; 16; 15; 14; 10; 8; 8; 8; 7; 6; 6; 6; 6; 6; 5; 5; 5; 4; 4; 3	trap; gang; water; huis; boven; tapijt; traphal; afvoer; bad; kamer; hal; overlopen; overloper; politiek; afloop; allee; badkamer; bedrieger; deuren; emmer	33; 28; 21; 10; 8; 8; 6; 5; 5; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2	corredor; angosto; largo; casa; puerta; pasaje; camino; oscuro; entrada; estrecho; hall; lugar; baldosas; colegio	23; 12; 12; 10; 9; 8; 7; 7; 3; 3; 3; 3; 2; 2	pasillo; atleta; deportista; correr; maratón; rápido; casa; largo; bolsa; carrera; salud; seguros; angosto; Bolt; caminar	29; 14; 8; 7; 6; 6; 4; 4; 3; 3; 3; 3; 2; 2; 2
113	kidney	organ	nouns	肾	器官	riñón	órgano	nier	orgaan	Niere	Organ	4.363636363636363	2.0	3.2	2.8848484848484843	3.46666666666667	2.7230769228	bean; stone; organ; urine; liver; body; pie; transplant; dialysis; shape; bladder; filter; disease; red; two; biology; blood	46; 37; 24; 15; 11; 9; 9; 8; 6; 6; 5; 5; 4; 4; 4; 3; 3	heart; donor; pipe; body; piano; church; music; lung; liver; penis; blood; instrument; kidney; player; donation; skin; transplant; Bach	40; 32; 21; 17; 17; 16; 15; 12; 10; 6; 5; 5; 5; 5; 4; 4; 4; 3	器官; 虚; 苹果; 男人; 肾虚; 肝; 苹果手机; 内脏; 卖肾; 尿; 总选; 肾亏; 身体; 健康	8; 7; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 2	心脏; 移植; 捐献; 眼睛; 鼻子; 五官; 买卖; 医院; 耳朵; 肾; 内脏; 捐赠	11; 11; 8; 6; 6; 5; 4; 4; 4; 4; 3; 3	Organ; Leber; Urin; Körper; Spende; zwei; Blut; Spenden; Steine; spenden; Alkohol; Dialyse; Gesundheit; Herz	24; 9; 9; 5; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2	Herz; Leber; Körper; Lunge; Niere; Haut; Spende; Gesundheit; Medizin; Mensch; Anatomie; Bauch	27; 15; 11; 9; 9; 6; 5; 3; 3; 3; 2; 2	urine; orgaan; steen; dialyse; donor; plassen; lever; transplantatie; twee; blaas; lichaam; pijn; water; zuiveren; eten; gezondheid; lichaamsdeel; niersteen; bijnier; bloed	38; 23; 16; 10; 10; 9; 7; 7; 7; 6; 6; 6; 6; 6; 5; 5; 5; 5; 4; 4	lever; nier; hart; donor; maag; transplantatie; longen; donatie; lichaam; nieren; darm; milt; bestuur; bloed	42; 41; 40; 22; 17; 13; 10; 9; 8; 6; 5; 5; 4; 4	órgano; orina; cuerpo; hígado; estómago; agua; cálculos; filtro; pis	28; 12; 5; 5; 4; 3; 3; 3; 3	cuerpo; música; instrumento; corazón; piano; pulmón; hígado; piel; salud; vital; anatomía; biología; cerebro; donación; iglesia; parte; riñón	27; 14; 13; 10; 7; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3
127	elegance	style	nouns	优雅	风格	elegancia	estilo	elegantie	stijl	Eleganz	Stil	1.818181818181818	3.3076923076923075	4.1	2.946095571095571	5.03571428571429	4.1538461538	beauty; grace; class; dress; style; beautiful; gown; lady; woman; charm; fancy; graceful; fashion; lovely; rich; ball; car; chic; fine; jewelry	18; 18; 9; 9; 8; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3	fashion; clothes; hair; class; type; clothing; font; cool; dress; individual; way; chic; expensive; form; grace; high; mode; music; writing; choice	49; 17; 14; 7; 7; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3; 2	美丽; 女性; 气质; 高贵; 大方; 女人; 绅士; 天鹅; 知性; 端庄; 贵族	13; 6; 6; 6; 5; 4; 4; 3; 3; 3; 3	独特; 个性; 时尚; 迥异; style; 个人; 各异; 建筑; 性冷淡	6; 5; 4; 4; 3; 2; 2; 2; 2	Mode; edel; schön; Frau; Tanz; elegant; Abendkleid; Chic; Frauen; Glanz; Haltung; Kleid; Kleidung; teuer	7; 6; 6; 5; 5; 4; 3; 3; 3; 3; 3; 3; 3; 3	Mode; Kleidung; Bruch; Eleganz; elegant; Barock; Design; Geschmack; Ikone	20; 11; 4; 4; 4; 3; 3; 3; 3	mooi; vrouw; sierlijk; vrouwelijk; stijlvol; dame; elegant; gracieus; kleding; verfijnd; ballet; dansen; gratie; kat; klasse; schoonheid; stijl; fijn; hakken; jurk	34; 20; 12; 12; 11; 10; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3	mode; kleding; klasse; mooi; deur; kunst; elegant; kledij; manier; modern; taal; barok; chique; eigenheid; interieur; klassiek; schrijven; eigen; gebouwen; genre	27; 15; 10; 8; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3	vestimenta; estilo; moda; traje; fino; Francia; vestido; distinción; glamour; prestancia; clase; fiesta; gala; mujer	7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3	moda; forma; ropa; clase; glamour; personalidad; libre; look; manera; propio; diseño; elegancia; literario; marca; onda; vida	22; 13; 9; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3
