pair_label,lang1,lang2,word1,word2,concept,score,lang1_associations,lang2_associations,lang1_name,lang2_name
CMN-ENG,CMN,ENG,出租车,taxi,taxi,5.800699300699300,司机; 滴滴; 打的; 的士; 乘客; taxi; 打车; 贵; 黑车; 绿色,cab; yellow; driver; car; new york; city; fare; hail; ride; drive; black; meter; move; expensive; money,Mandarin Chinese,English
CMN-ENG,CMN,ENG,屋顶,ceiling,ceiling,3.437062937062940,瓦片; 周杰伦; 房子; 星空; 漏水; 房屋; 温岚; 房顶; 花园; 烟囱,roof; white; floor; top; high; fan; up; glass; house; above; limit; tile; popcorn; paint; debt,Mandarin Chinese,English
CMN-ENG,CMN,ENG,天花板,roof,roof,3.437062937062940,白色; 地板; 灯; 吊顶; 高; 抬头; 白; 高度; 房顶; 吊灯,house; top; ceiling; shingles; shingle; dog; tiles; fire; chimney; tile; shelter; mouth; rain; tin; hot,Mandarin Chinese,English
CMN-ENG,CMN,ENG,价值观,belief,belief,3.0804195804195800,三观; 人生观; 世界观; 社会主义; 核心; 正确; 三观不正; 价值; 富强; 一致,religion; god; faith; system; knowledge; thought; trust; truth; idea; dogma; conviction; christian; believe; tenet; atheism,Mandarin Chinese,English
CMN-ENG,CMN,ENG,赢,succeed,succeed,3.402097902097900,输; 胜利; 比赛; 嬴政; 冠军; 输赢; 赢家; 高兴; 快乐; 政,win; success; achieve; fail; accomplish; money; finish; work; complete; business; try; do well; happy; goal; best,Mandarin Chinese,English
CMN-ENG,CMN,ENG,球,glove,glove,0.3601398601398600,篮球; 足球; 圆; 地球; 皮球; 乒乓球; 圆的; 羽毛球; 运动; 球体,hand; leather; mitten; cold; warm; fingers; winter; fit; finger; love; hands; mitt; warmth; box; baseball,Mandarin Chinese,English
CMN-ENG,CMN,ENG,晚餐,chicken,chicken,0.4825174825174830,烛光; 早餐; 红酒; 蜡烛; 肉; 吃; 吃饭; 浪漫; 家庭; 家人,egg; food; soup; bird; feathers; fried; meat; feather; eggs; dinner; rooster; wings; coward; breast; animal,Mandarin Chinese,English
CMN-ENG,CMN,ENG,快乐,happy,happy,5.27972027972028,开心; 高兴; 幸福; 悲伤; 愉悦; 笑; 阳光; 愉快; 美食; 美好,sad; smile; glad; joy; content; joyful; cheerful; birthday; fun; satisfied; pleased; joyous; face; elated; love,Mandarin Chinese,English
CMN-ENG,CMN,ENG,雾,cloud,cloud,2.695804195804200,雾霾; 霾; 雨; 大雾; 天气; 朦胧; 风; 污染; 雾气; 北京,sky; rain; white; fluffy; blue; sun; fog; water; computing; nimbus; puffy; air; grey; shapes; internet,Mandarin Chinese,English
CMN-ENG,CMN,ENG,王子,king,king,1.9615384615384600,公主; 青蛙; 31b9d88d4dcfa1ac288d451a2649ee35; 白马; 王冠; 城堡; 童话; 骑士; 英国; 王国,queen; crown; ruler; prince; monarch; royalty; royal; kingdom; throne; kong; chess; knight; jack; rule; castle,Mandarin Chinese,English
CMN-ENG,CMN,ENG,大夫,doctor,doctor,4.755244755244760,医生; 医院; 士大夫; 白大褂; 治病; 白色; 护士; 大丈夫; 救死扶伤; 白衣,medicine; nurse; physician; hospital; lawyer; medical; patient; health; sick; who; surgeon; office; healer; medic; coat,Mandarin Chinese,English
CMN-ENG,CMN,ENG,女孩,child,child,2.377622377622380,男孩; 可爱; 裙子; 漂亮; 美丽; 年轻; 青春; 长发; 少女; 辫子,baby; kid; young; boy; infant; girl; small; children; parent; mother; toddler; son; play; offspring; innocent,Mandarin Chinese,English
CMN-ENG,CMN,ENG,课程,stomach,unrelated,0.0,上课; 数学; 学习; 英语; 老师; 语文; 实验; 技能; 安排; 课程表,food; ache; belly; gut; tummy; acid; eat; hungry; pain; digest; flu; full; digestion; fat; organ,Mandarin Chinese,English
CMN-ENG,CMN,ENG,卧室,bicycle,unrelated,0.0,床; 睡觉; 房间; 被子; 温馨; 安静; 枕头; 客厅; 舒服; 窗帘,ride; wheel; wheels; bike; tricycle; fun; two; exercise; helmet; unicycle; chain; travel; pedal; cycle; queen,Mandarin Chinese,English
CMN-ENG,CMN,ENG,聪明,dumb,antonym,0.0839160839160839,机智; 智慧; 伶俐; 智商; 绝顶; 人; 天才; 可爱; 傻瓜; 聪慧,stupid; idiot; ass; mute; ignorant; unintelligent; dumber; deaf; smart; silly; silent; moron; person; dunce; thick,Mandarin Chinese,English
